,premise,hypothesis,label,duration_type,prem_fixed
685,after 540 seconds the coffee will be ready to drink,the coffee will be ready to drink in 6 minutes,Contradiction,second_minute,False
686,after 540 seconds Mary's party will start,Mary's party will start in 7 minutes,Contradiction,second_minute,False
687,after 540 seconds the oven will be ready,the oven will be ready in 8 minutes,Contradiction,second_minute,False
688,after 540 seconds the President is giving a speech,the President is giving a speech in 9 minutes,Contradiction,second_minute,False
689,after 540 seconds class will start,class will start in 10 minutes,Neutral,second_minute,False
690,after 600 seconds the showing will begin,the showing will begin in 1 minutes,Contradiction,second_minute,False
691,after 600 seconds the race will commence,the race will commence in 2 minutes,Contradiction,second_minute,False
692,after 600 seconds the oven will be ready,the oven will be ready in 3 minutes,Contradiction,second_minute,False
693,after 600 seconds the oven will be ready,the oven will be ready in 4 minutes,Contradiction,second_minute,False
694,after 600 seconds we will collect the exams,we will collect the exams in 5 minutes,Contradiction,second_minute,False
695,after 600 seconds dinner will be ready,dinner will be ready in 6 minutes,Contradiction,second_minute,False
696,after 600 seconds the President is giving a speech,the President is giving a speech in 7 minutes,Contradiction,second_minute,False
697,after 600 seconds Jeopardy is starting,Jeopardy is starting in 8 minutes,Contradiction,second_minute,False
698,after 600 seconds the grocery store will close,the grocery store will close in 9 minutes,Contradiction,second_minute,False
699,after 600 seconds our plane will be departing,our plane will be departing in 10 minutes,Contradiction,second_minute,False
700,after 60 seconds the showing will begin,the showing will begin before 1 minutes,Contradiction,second_minute,False
701,after 60 seconds the oven will be ready,the oven will be ready before 2 minutes,Neutral,second_minute,False
702,after 60 seconds our plane will be departing,our plane will be departing before 3 minutes,Neutral,second_minute,False
703,after 60 seconds commercial break is over,commercial break is over before 4 minutes,Neutral,second_minute,False
704,after 60 seconds the President is giving a speech,the President is giving a speech before 5 minutes,Neutral,second_minute,False
705,after 60 seconds dinner will be ready,dinner will be ready before 6 minutes,Neutral,second_minute,False
706,after 60 seconds dinner will be ready,dinner will be ready before 7 minutes,Neutral,second_minute,False
707,after 60 seconds the webpage should finish loading,the webpage should finish loading before 8 minutes,Neutral,second_minute,False
708,after 60 seconds the oven will be ready,the oven will be ready before 9 minutes,Neutral,second_minute,False
709,after 60 seconds we will eat our meal,we will eat our meal before 10 minutes,Neutral,second_minute,False
710,after 120 seconds our plane will be departing,our plane will be departing before 1 minutes,Contradiction,second_minute,False
711,after 120 seconds Luke will eat dinner,Luke will eat dinner before 2 minutes,Contradiction,second_minute,False
712,after 120 seconds class will start,class will start before 3 minutes,Neutral,second_minute,False
713,after 120 seconds the President is giving a speech,the President is giving a speech before 4 minutes,Neutral,second_minute,False
714,after 120 seconds the next song is ready to play,the next song is ready to play before 5 minutes,Neutral,second_minute,False
715,after 120 seconds class will start,class will start before 6 minutes,Neutral,second_minute,False
716,after 120 seconds the servers will be back up,the servers will be back up before 7 minutes,Neutral,second_minute,False
717,after 120 seconds the grocery store will close,the grocery store will close before 8 minutes,Neutral,second_minute,False
718,after 120 seconds we will eat our meal,we will eat our meal before 9 minutes,Neutral,second_minute,False
719,after 120 seconds the grocery store will close,the grocery store will close before 10 minutes,Neutral,second_minute,False
720,after 180 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 1 minutes,Contradiction,second_minute,False
721,after 180 seconds Jeopardy is starting,Jeopardy is starting before 2 minutes,Contradiction,second_minute,False
722,after 180 seconds class will start,class will start before 3 minutes,Contradiction,second_minute,False
723,after 180 seconds we will collect the exams,we will collect the exams before 4 minutes,Neutral,second_minute,False
724,after 180 seconds the next song is ready to play,the next song is ready to play before 5 minutes,Neutral,second_minute,False
725,after 180 seconds the race will commence,the race will commence before 6 minutes,Neutral,second_minute,False
726,after 180 seconds the President is giving a speech,the President is giving a speech before 7 minutes,Neutral,second_minute,False
727,after 180 seconds dinner will be ready,dinner will be ready before 8 minutes,Neutral,second_minute,False
728,after 180 seconds class will end,class will end before 9 minutes,Neutral,second_minute,False
729,after 180 seconds commercial break is over,commercial break is over before 10 minutes,Neutral,second_minute,False
730,after 240 seconds the oven will be ready,the oven will be ready before 1 minutes,Contradiction,second_minute,False
731,after 240 seconds Mary's party will start,Mary's party will start before 2 minutes,Contradiction,second_minute,False
732,after 240 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 3 minutes,Contradiction,second_minute,False
733,after 240 seconds the webpage should finish loading,the webpage should finish loading before 4 minutes,Contradiction,second_minute,False
734,after 240 seconds our plane will be departing,our plane will be departing before 5 minutes,Neutral,second_minute,False
735,after 240 seconds dinner will be ready,dinner will be ready before 6 minutes,Neutral,second_minute,False
736,after 240 seconds we will eat our meal,we will eat our meal before 7 minutes,Neutral,second_minute,False
737,after 240 seconds the webpage should finish loading,the webpage should finish loading before 8 minutes,Neutral,second_minute,False
738,after 240 seconds the webpage should finish loading,the webpage should finish loading before 9 minutes,Neutral,second_minute,False
739,after 240 seconds our plane will be departing,our plane will be departing before 10 minutes,Neutral,second_minute,False
740,after 300 seconds Jeopardy is starting,Jeopardy is starting before 1 minutes,Contradiction,second_minute,False
741,after 300 seconds the next song is ready to play,the next song is ready to play before 2 minutes,Contradiction,second_minute,False
742,after 300 seconds the oven will be ready,the oven will be ready before 3 minutes,Contradiction,second_minute,False
743,after 300 seconds class will start,class will start before 4 minutes,Contradiction,second_minute,False
744,after 300 seconds we will collect the exams,we will collect the exams before 5 minutes,Contradiction,second_minute,False
745,after 300 seconds commercial break is over,commercial break is over before 6 minutes,Neutral,second_minute,False
746,after 300 seconds the President is giving a speech,the President is giving a speech before 7 minutes,Neutral,second_minute,False
747,after 300 seconds the President is giving a speech,the President is giving a speech before 8 minutes,Neutral,second_minute,False
748,after 300 seconds class will start,class will start before 9 minutes,Neutral,second_minute,False
749,after 300 seconds the coffee will be ready to drink,the coffee will be ready to drink before 10 minutes,Neutral,second_minute,False
750,after 360 seconds the showing will begin,the showing will begin before 1 minutes,Contradiction,second_minute,False
751,after 360 seconds the webpage should finish loading,the webpage should finish loading before 2 minutes,Contradiction,second_minute,False
752,after 360 seconds the webpage should finish loading,the webpage should finish loading before 3 minutes,Contradiction,second_minute,False
753,after 360 seconds commercial break is over,commercial break is over before 4 minutes,Contradiction,second_minute,False
754,after 360 seconds the next song is ready to play,the next song is ready to play before 5 minutes,Contradiction,second_minute,False
755,after 360 seconds the showing will begin,the showing will begin before 6 minutes,Contradiction,second_minute,False
756,after 360 seconds the grocery store will close,the grocery store will close before 7 minutes,Neutral,second_minute,False
757,after 360 seconds class will start,class will start before 8 minutes,Neutral,second_minute,False
758,after 360 seconds the next song is ready to play,the next song is ready to play before 9 minutes,Neutral,second_minute,False
759,after 360 seconds dinner will be ready,dinner will be ready before 10 minutes,Neutral,second_minute,False
760,after 420 seconds the next song is ready to play,the next song is ready to play before 1 minutes,Contradiction,second_minute,False
761,after 420 seconds the servers will be back up,the servers will be back up before 2 minutes,Contradiction,second_minute,False
762,after 420 seconds Luke will eat dinner,Luke will eat dinner before 3 minutes,Contradiction,second_minute,False
763,after 420 seconds dinner will be ready,dinner will be ready before 4 minutes,Contradiction,second_minute,False
764,after 420 seconds the grocery store will close,the grocery store will close before 5 minutes,Contradiction,second_minute,False
765,after 420 seconds the President is giving a speech,the President is giving a speech before 6 minutes,Contradiction,second_minute,False
766,after 420 seconds the race will commence,the race will commence before 7 minutes,Contradiction,second_minute,False
767,after 420 seconds the grocery store will close,the grocery store will close before 8 minutes,Neutral,second_minute,False
768,after 420 seconds we will collect the exams,we will collect the exams before 9 minutes,Neutral,second_minute,False
769,after 420 seconds the grocery store will close,the grocery store will close before 10 minutes,Neutral,second_minute,False
770,after 480 seconds the race will commence,the race will commence before 1 minutes,Contradiction,second_minute,False
771,after 480 seconds our plane will be departing,our plane will be departing before 2 minutes,Contradiction,second_minute,False
772,after 480 seconds Jeopardy is starting,Jeopardy is starting before 3 minutes,Contradiction,second_minute,False
773,after 480 seconds commercial break is over,commercial break is over before 4 minutes,Contradiction,second_minute,False
774,after 480 seconds the showing will begin,the showing will begin before 5 minutes,Contradiction,second_minute,False
775,after 480 seconds the race will commence,the race will commence before 6 minutes,Contradiction,second_minute,False
776,after 480 seconds Jeopardy is starting,Jeopardy is starting before 7 minutes,Contradiction,second_minute,False
777,after 480 seconds dinner will be ready,dinner will be ready before 8 minutes,Contradiction,second_minute,False
778,after 480 seconds Luke will eat dinner,Luke will eat dinner before 9 minutes,Neutral,second_minute,False
779,after 480 seconds class will start,class will start before 10 minutes,Neutral,second_minute,False
780,after 540 seconds the coffee will be ready to drink,the coffee will be ready to drink before 1 minutes,Contradiction,second_minute,False
781,after 540 seconds the coffee will be ready to drink,the coffee will be ready to drink before 2 minutes,Contradiction,second_minute,False
782,after 540 seconds the oven will be ready,the oven will be ready before 3 minutes,Contradiction,second_minute,False
783,after 540 seconds the race will commence,the race will commence before 4 minutes,Contradiction,second_minute,False
784,after 540 seconds the coffee will be ready to drink,the coffee will be ready to drink before 5 minutes,Contradiction,second_minute,False
785,after 540 seconds we will collect the exams,we will collect the exams before 6 minutes,Contradiction,second_minute,False
786,after 540 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 7 minutes,Contradiction,second_minute,False
787,after 540 seconds commercial break is over,commercial break is over before 8 minutes,Contradiction,second_minute,False
788,after 540 seconds class will start,class will start before 9 minutes,Contradiction,second_minute,False
789,after 540 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 10 minutes,Neutral,second_minute,False
790,after 600 seconds Jeopardy is starting,Jeopardy is starting before 1 minutes,Contradiction,second_minute,False
791,after 600 seconds Luke will eat dinner,Luke will eat dinner before 2 minutes,Contradiction,second_minute,False
792,after 600 seconds we will eat our meal,we will eat our meal before 3 minutes,Contradiction,second_minute,False
793,after 600 seconds the race will commence,the race will commence before 4 minutes,Contradiction,second_minute,False
794,after 600 seconds the webpage should finish loading,the webpage should finish loading before 5 minutes,Contradiction,second_minute,False
795,after 600 seconds the servers will be back up,the servers will be back up before 6 minutes,Contradiction,second_minute,False
796,after 600 seconds the servers will be back up,the servers will be back up before 7 minutes,Contradiction,second_minute,False
797,after 600 seconds we will eat our meal,we will eat our meal before 8 minutes,Contradiction,second_minute,False
798,after 600 seconds the race will commence,the race will commence before 9 minutes,Contradiction,second_minute,False
799,after 600 seconds dinner will be ready,dinner will be ready before 10 minutes,Contradiction,second_minute,False
800,after 60 seconds we will collect the exams,we will collect the exams after 1 minutes,Entailment,second_minute,False
801,after 60 seconds we will eat our meal,we will eat our meal after 2 minutes,Neutral,second_minute,False
802,after 60 seconds the oven will be ready,the oven will be ready after 3 minutes,Neutral,second_minute,False
803,after 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 4 minutes,Neutral,second_minute,False
804,after 60 seconds Jeopardy is starting,Jeopardy is starting after 5 minutes,Neutral,second_minute,False
805,after 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 6 minutes,Neutral,second_minute,False
806,after 60 seconds Luke will eat dinner,Luke will eat dinner after 7 minutes,Neutral,second_minute,False
807,after 60 seconds Jeopardy is starting,Jeopardy is starting after 8 minutes,Neutral,second_minute,False
808,after 60 seconds the coffee will be ready to drink,the coffee will be ready to drink after 9 minutes,Neutral,second_minute,False
809,after 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 10 minutes,Neutral,second_minute,False
810,after 120 seconds the coffee will be ready to drink,the coffee will be ready to drink after 1 minutes,Entailment,second_minute,False
811,after 120 seconds dinner will be ready,dinner will be ready after 2 minutes,Entailment,second_minute,False
812,after 120 seconds class will end,class will end after 3 minutes,Neutral,second_minute,False
813,after 120 seconds the President is giving a speech,the President is giving a speech after 4 minutes,Neutral,second_minute,False
814,after 120 seconds the servers will be back up,the servers will be back up after 5 minutes,Neutral,second_minute,False
815,after 120 seconds the race will commence,the race will commence after 6 minutes,Neutral,second_minute,False
816,after 120 seconds our plane will be departing,our plane will be departing after 7 minutes,Neutral,second_minute,False
817,after 120 seconds class will end,class will end after 8 minutes,Neutral,second_minute,False
818,after 120 seconds the next song is ready to play,the next song is ready to play after 9 minutes,Neutral,second_minute,False
819,after 120 seconds the coffee will be ready to drink,the coffee will be ready to drink after 10 minutes,Neutral,second_minute,False
820,after 180 seconds class will end,class will end after 1 minutes,Entailment,second_minute,False
821,after 180 seconds commercial break is over,commercial break is over after 2 minutes,Entailment,second_minute,False
822,after 180 seconds Jeopardy is starting,Jeopardy is starting after 3 minutes,Entailment,second_minute,False
823,after 180 seconds the President is giving a speech,the President is giving a speech after 4 minutes,Neutral,second_minute,False
824,after 180 seconds our plane will be departing,our plane will be departing after 5 minutes,Neutral,second_minute,False
825,after 180 seconds we will eat our meal,we will eat our meal after 6 minutes,Neutral,second_minute,False
826,after 180 seconds the webpage should finish loading,the webpage should finish loading after 7 minutes,Neutral,second_minute,False
827,after 180 seconds dinner will be ready,dinner will be ready after 8 minutes,Neutral,second_minute,False
828,after 180 seconds dinner will be ready,dinner will be ready after 9 minutes,Neutral,second_minute,False
829,after 180 seconds we will collect the exams,we will collect the exams after 10 minutes,Neutral,second_minute,False
830,after 240 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 1 minutes,Entailment,second_minute,False
831,after 240 seconds the next song is ready to play,the next song is ready to play after 2 minutes,Entailment,second_minute,False
832,after 240 seconds we will collect the exams,we will collect the exams after 3 minutes,Entailment,second_minute,False
833,after 240 seconds the oven will be ready,the oven will be ready after 4 minutes,Entailment,second_minute,False
834,after 240 seconds the showing will begin,the showing will begin after 5 minutes,Neutral,second_minute,False
835,after 240 seconds the coffee will be ready to drink,the coffee will be ready to drink after 6 minutes,Neutral,second_minute,False
836,after 240 seconds we will collect the exams,we will collect the exams after 7 minutes,Neutral,second_minute,False
837,after 240 seconds the servers will be back up,the servers will be back up after 8 minutes,Neutral,second_minute,False
838,after 240 seconds Luke will eat dinner,Luke will eat dinner after 9 minutes,Neutral,second_minute,False
839,after 240 seconds the President is giving a speech,the President is giving a speech after 10 minutes,Neutral,second_minute,False
840,after 300 seconds class will end,class will end after 1 minutes,Entailment,second_minute,False
841,after 300 seconds Mary's party will start,Mary's party will start after 2 minutes,Entailment,second_minute,False
842,after 300 seconds Luke will eat dinner,Luke will eat dinner after 3 minutes,Entailment,second_minute,False
843,after 300 seconds dinner will be ready,dinner will be ready after 4 minutes,Entailment,second_minute,False
844,after 300 seconds class will end,class will end after 5 minutes,Entailment,second_minute,False
845,after 300 seconds the coffee will be ready to drink,the coffee will be ready to drink after 6 minutes,Neutral,second_minute,False
846,after 300 seconds the President is giving a speech,the President is giving a speech after 7 minutes,Neutral,second_minute,False
847,after 300 seconds Jeopardy is starting,Jeopardy is starting after 8 minutes,Neutral,second_minute,False
848,after 300 seconds Jeopardy is starting,Jeopardy is starting after 9 minutes,Neutral,second_minute,False
849,after 300 seconds the showing will begin,the showing will begin after 10 minutes,Neutral,second_minute,False
850,after 360 seconds the oven will be ready,the oven will be ready after 1 minutes,Entailment,second_minute,False
851,after 360 seconds the next song is ready to play,the next song is ready to play after 2 minutes,Entailment,second_minute,False
852,after 360 seconds the oven will be ready,the oven will be ready after 3 minutes,Entailment,second_minute,False
853,after 360 seconds the webpage should finish loading,the webpage should finish loading after 4 minutes,Entailment,second_minute,False
854,after 360 seconds we will eat our meal,we will eat our meal after 5 minutes,Entailment,second_minute,False
855,after 360 seconds the President is giving a speech,the President is giving a speech after 6 minutes,Entailment,second_minute,False
856,after 360 seconds the showing will begin,the showing will begin after 7 minutes,Neutral,second_minute,False
857,after 360 seconds class will end,class will end after 8 minutes,Neutral,second_minute,False
858,after 360 seconds the webpage should finish loading,the webpage should finish loading after 9 minutes,Neutral,second_minute,False
859,after 360 seconds we will collect the exams,we will collect the exams after 10 minutes,Neutral,second_minute,False
860,after 420 seconds class will end,class will end after 1 minutes,Entailment,second_minute,False
861,after 420 seconds class will end,class will end after 2 minutes,Entailment,second_minute,False
862,after 420 seconds Mary's party will start,Mary's party will start after 3 minutes,Entailment,second_minute,False
863,after 420 seconds we will eat our meal,we will eat our meal after 4 minutes,Entailment,second_minute,False
864,after 420 seconds the webpage should finish loading,the webpage should finish loading after 5 minutes,Entailment,second_minute,False
865,after 420 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 6 minutes,Entailment,second_minute,False
866,after 420 seconds the oven will be ready,the oven will be ready after 7 minutes,Entailment,second_minute,False
867,after 420 seconds we will eat our meal,we will eat our meal after 8 minutes,Neutral,second_minute,False
868,after 420 seconds the next song is ready to play,the next song is ready to play after 9 minutes,Neutral,second_minute,False
869,after 420 seconds Jeopardy is starting,Jeopardy is starting after 10 minutes,Neutral,second_minute,False
870,after 480 seconds commercial break is over,commercial break is over after 1 minutes,Entailment,second_minute,False
871,after 480 seconds our plane will be departing,our plane will be departing after 2 minutes,Entailment,second_minute,False
872,after 480 seconds the race will commence,the race will commence after 3 minutes,Entailment,second_minute,False
873,after 480 seconds commercial break is over,commercial break is over after 4 minutes,Entailment,second_minute,False
874,after 480 seconds commercial break is over,commercial break is over after 5 minutes,Entailment,second_minute,False
875,after 480 seconds we will eat our meal,we will eat our meal after 6 minutes,Entailment,second_minute,False
876,after 480 seconds the race will commence,the race will commence after 7 minutes,Entailment,second_minute,False
877,after 480 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 8 minutes,Entailment,second_minute,False
878,after 480 seconds the coffee will be ready to drink,the coffee will be ready to drink after 9 minutes,Neutral,second_minute,False
879,after 480 seconds class will end,class will end after 10 minutes,Neutral,second_minute,False
880,after 540 seconds our plane will be departing,our plane will be departing after 1 minutes,Entailment,second_minute,False
881,after 540 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 2 minutes,Entailment,second_minute,False
882,after 540 seconds we will eat our meal,we will eat our meal after 3 minutes,Entailment,second_minute,False
883,after 540 seconds commercial break is over,commercial break is over after 4 minutes,Entailment,second_minute,False
884,after 540 seconds our plane will be departing,our plane will be departing after 5 minutes,Entailment,second_minute,False
885,after 540 seconds our plane will be departing,our plane will be departing after 6 minutes,Entailment,second_minute,False
886,after 540 seconds the President is giving a speech,the President is giving a speech after 7 minutes,Entailment,second_minute,False
887,after 540 seconds our plane will be departing,our plane will be departing after 8 minutes,Entailment,second_minute,False
888,after 540 seconds we will eat our meal,we will eat our meal after 9 minutes,Entailment,second_minute,False
889,after 540 seconds class will start,class will start after 10 minutes,Neutral,second_minute,False
890,after 600 seconds the servers will be back up,the servers will be back up after 1 minutes,Entailment,second_minute,False
891,after 600 seconds dinner will be ready,dinner will be ready after 2 minutes,Entailment,second_minute,False
892,after 600 seconds the coffee will be ready to drink,the coffee will be ready to drink after 3 minutes,Entailment,second_minute,False
893,after 600 seconds class will start,class will start after 4 minutes,Entailment,second_minute,False
894,after 600 seconds the President is giving a speech,the President is giving a speech after 5 minutes,Entailment,second_minute,False
895,after 600 seconds class will start,class will start after 6 minutes,Entailment,second_minute,False
896,after 600 seconds the President is giving a speech,the President is giving a speech after 7 minutes,Entailment,second_minute,False
897,after 600 seconds the race will commence,the race will commence after 8 minutes,Entailment,second_minute,False
898,after 600 seconds Jeopardy is starting,Jeopardy is starting after 9 minutes,Entailment,second_minute,False
899,after 600 seconds dinner will be ready,dinner will be ready after 10 minutes,Entailment,second_minute,False
900,in 60 minutes the oven will be ready,the oven will be ready in 1 hours,Entailment,minute_hour,False
901,in 60 minutes class will end,class will end in 2 hours,Contradiction,minute_hour,False
902,in 60 minutes Luke will eat dinner,Luke will eat dinner in 3 hours,Contradiction,minute_hour,False
903,in 60 minutes Mary's party will start,Mary's party will start in 4 hours,Contradiction,minute_hour,False
904,in 60 minutes class will start,class will start in 5 hours,Contradiction,minute_hour,False
905,in 60 minutes we will eat our meal,we will eat our meal in 6 hours,Contradiction,minute_hour,False
906,in 60 minutes our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 7 hours,Contradiction,minute_hour,False
907,in 60 minutes Jeopardy is starting,Jeopardy is starting in 8 hours,Contradiction,minute_hour,False
908,in 60 minutes class will end,class will end in 9 hours,Contradiction,minute_hour,False
909,in 60 minutes the showing will begin,the showing will begin in 10 hours,Contradiction,minute_hour,False
910,in 120 minutes the oven will be ready,the oven will be ready in 1 hours,Contradiction,minute_hour,False
911,in 120 minutes the showing will begin,the showing will begin in 2 hours,Entailment,minute_hour,False
912,in 120 minutes commercial break is over,commercial break is over in 3 hours,Contradiction,minute_hour,False
913,in 120 minutes the coffee will be ready to drink,the coffee will be ready to drink in 4 hours,Contradiction,minute_hour,False
914,in 120 minutes the showing will begin,the showing will begin in 5 hours,Contradiction,minute_hour,False
915,in 120 minutes the showing will begin,the showing will begin in 6 hours,Contradiction,minute_hour,False
916,in 120 minutes the showing will begin,the showing will begin in 7 hours,Contradiction,minute_hour,False
917,in 120 minutes Jeopardy is starting,Jeopardy is starting in 8 hours,Contradiction,minute_hour,False
918,in 120 minutes class will end,class will end in 9 hours,Contradiction,minute_hour,False
919,in 120 minutes the oven will be ready,the oven will be ready in 10 hours,Contradiction,minute_hour,False
920,in 180 minutes the next song is ready to play,the next song is ready to play in 1 hours,Contradiction,minute_hour,False
921,in 180 minutes the showing will begin,the showing will begin in 2 hours,Contradiction,minute_hour,False
922,in 180 minutes our plane will be departing,our plane will be departing in 3 hours,Entailment,minute_hour,False
923,in 180 minutes the grocery store will close,the grocery store will close in 4 hours,Contradiction,minute_hour,False
924,in 180 minutes class will end,class will end in 5 hours,Contradiction,minute_hour,False
925,in 180 minutes Luke will eat dinner,Luke will eat dinner in 6 hours,Contradiction,minute_hour,False
926,in 180 minutes we will collect the exams,we will collect the exams in 7 hours,Contradiction,minute_hour,False
927,in 180 minutes class will start,class will start in 8 hours,Contradiction,minute_hour,False
928,in 180 minutes the race will commence,the race will commence in 9 hours,Contradiction,minute_hour,False
929,in 180 minutes dinner will be ready,dinner will be ready in 10 hours,Contradiction,minute_hour,False
930,in 240 minutes our plane will be departing,our plane will be departing in 1 hours,Contradiction,minute_hour,False
931,in 240 minutes our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 2 hours,Contradiction,minute_hour,False
932,in 240 minutes our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 3 hours,Contradiction,minute_hour,False
933,in 240 minutes we will collect the exams,we will collect the exams in 4 hours,Entailment,minute_hour,False
934,in 240 minutes Jeopardy is starting,Jeopardy is starting in 5 hours,Contradiction,minute_hour,False
935,in 240 minutes the next song is ready to play,the next song is ready to play in 6 hours,Contradiction,minute_hour,False
936,in 240 minutes the webpage should finish loading,the webpage should finish loading in 7 hours,Contradiction,minute_hour,False
937,in 240 minutes Jeopardy is starting,Jeopardy is starting in 8 hours,Contradiction,minute_hour,False
938,in 240 minutes class will end,class will end in 9 hours,Contradiction,minute_hour,False
939,in 240 minutes the grocery store will close,the grocery store will close in 10 hours,Contradiction,minute_hour,False
940,in 300 minutes class will start,class will start in 1 hours,Contradiction,minute_hour,False
941,in 300 minutes the coffee will be ready to drink,the coffee will be ready to drink in 2 hours,Contradiction,minute_hour,False
942,in 300 minutes class will start,class will start in 3 hours,Contradiction,minute_hour,False
943,in 300 minutes the grocery store will close,the grocery store will close in 4 hours,Contradiction,minute_hour,False
944,in 300 minutes the next song is ready to play,the next song is ready to play in 5 hours,Entailment,minute_hour,False
945,in 300 minutes the servers will be back up,the servers will be back up in 6 hours,Contradiction,minute_hour,False
946,in 300 minutes class will end,class will end in 7 hours,Contradiction,minute_hour,False
947,in 300 minutes the coffee will be ready to drink,the coffee will be ready to drink in 8 hours,Contradiction,minute_hour,False
948,in 300 minutes we will collect the exams,we will collect the exams in 9 hours,Contradiction,minute_hour,False
949,in 300 minutes the coffee will be ready to drink,the coffee will be ready to drink in 10 hours,Contradiction,minute_hour,False
950,in 360 minutes the webpage should finish loading,the webpage should finish loading in 1 hours,Contradiction,minute_hour,False
951,in 360 minutes the President is giving a speech,the President is giving a speech in 2 hours,Contradiction,minute_hour,False
952,in 360 minutes our plane will be departing,our plane will be departing in 3 hours,Contradiction,minute_hour,False
953,in 360 minutes commercial break is over,commercial break is over in 4 hours,Contradiction,minute_hour,False
954,in 360 minutes commercial break is over,commercial break is over in 5 hours,Contradiction,minute_hour,False
955,in 360 minutes the oven will be ready,the oven will be ready in 6 hours,Entailment,minute_hour,False
956,in 360 minutes the showing will begin,the showing will begin in 7 hours,Contradiction,minute_hour,False
957,in 360 minutes commercial break is over,commercial break is over in 8 hours,Contradiction,minute_hour,False
958,in 360 minutes the coffee will be ready to drink,the coffee will be ready to drink in 9 hours,Contradiction,minute_hour,False
959,in 360 minutes class will start,class will start in 10 hours,Contradiction,minute_hour,False
960,in 420 minutes dinner will be ready,dinner will be ready in 1 hours,Contradiction,minute_hour,False
961,in 420 minutes the showing will begin,the showing will begin in 2 hours,Contradiction,minute_hour,False
962,in 420 minutes Jeopardy is starting,Jeopardy is starting in 3 hours,Contradiction,minute_hour,False
963,in 420 minutes commercial break is over,commercial break is over in 4 hours,Contradiction,minute_hour,False
964,in 420 minutes the webpage should finish loading,the webpage should finish loading in 5 hours,Contradiction,minute_hour,False
965,in 420 minutes commercial break is over,commercial break is over in 6 hours,Contradiction,minute_hour,False
966,in 420 minutes the coffee will be ready to drink,the coffee will be ready to drink in 7 hours,Entailment,minute_hour,False
967,in 420 minutes we will collect the exams,we will collect the exams in 8 hours,Contradiction,minute_hour,False
968,in 420 minutes the President is giving a speech,the President is giving a speech in 9 hours,Contradiction,minute_hour,False
969,in 420 minutes Mary's party will start,Mary's party will start in 10 hours,Contradiction,minute_hour,False
970,in 480 minutes class will end,class will end in 1 hours,Contradiction,minute_hour,False
971,in 480 minutes the webpage should finish loading,the webpage should finish loading in 2 hours,Contradiction,minute_hour,False
972,in 480 minutes the showing will begin,the showing will begin in 3 hours,Contradiction,minute_hour,False
973,in 480 minutes the President is giving a speech,the President is giving a speech in 4 hours,Contradiction,minute_hour,False
974,in 480 minutes the President is giving a speech,the President is giving a speech in 5 hours,Contradiction,minute_hour,False
975,in 480 minutes class will start,class will start in 6 hours,Contradiction,minute_hour,False
976,in 480 minutes our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 7 hours,Contradiction,minute_hour,False
977,in 480 minutes dinner will be ready,dinner will be ready in 8 hours,Entailment,minute_hour,False
978,in 480 minutes the race will commence,the race will commence in 9 hours,Contradiction,minute_hour,False
979,in 480 minutes the race will commence,the race will commence in 10 hours,Contradiction,minute_hour,False
980,in 540 minutes the oven will be ready,the oven will be ready in 1 hours,Contradiction,minute_hour,False
981,in 540 minutes Jeopardy is starting,Jeopardy is starting in 2 hours,Contradiction,minute_hour,False
982,in 540 minutes we will eat our meal,we will eat our meal in 3 hours,Contradiction,minute_hour,False
983,in 540 minutes the coffee will be ready to drink,the coffee will be ready to drink in 4 hours,Contradiction,minute_hour,False
984,in 540 minutes the grocery store will close,the grocery store will close in 5 hours,Contradiction,minute_hour,False
985,in 540 minutes we will collect the exams,we will collect the exams in 6 hours,Contradiction,minute_hour,False
986,in 540 minutes the President is giving a speech,the President is giving a speech in 7 hours,Contradiction,minute_hour,False
987,in 540 minutes the next song is ready to play,the next song is ready to play in 8 hours,Contradiction,minute_hour,False
988,in 540 minutes the webpage should finish loading,the webpage should finish loading in 9 hours,Entailment,minute_hour,False
989,in 540 minutes Luke will eat dinner,Luke will eat dinner in 10 hours,Contradiction,minute_hour,False
990,in 600 minutes the grocery store will close,the grocery store will close in 1 hours,Contradiction,minute_hour,False
991,in 600 minutes the showing will begin,the showing will begin in 2 hours,Contradiction,minute_hour,False
992,in 600 minutes the webpage should finish loading,the webpage should finish loading in 3 hours,Contradiction,minute_hour,False
993,in 600 minutes we will collect the exams,we will collect the exams in 4 hours,Contradiction,minute_hour,False
