,Premise,Hypothesis,Label,Premise Preposition,Higher Duration Unit,Premise Forward/Backward
2712,I will have dinner with my friends in 4 hours.,I will have dinner with my friends before 187 minutess.,C,in,day_time,forward
2713,I will have dinner with my friends in 4 hours.,I will have dinner with my friends after 79 minutess.,E,in,day_time,forward
2714,I will have dinner with my friends in 4 hours.,I will have dinner with my friends before 282 minutess.,E,in,day_time,forward
2715,I will have dinner with my friends in 4 hours.,I will have dinner with my friends after 466 minutess.,C,in,day_time,forward
2716,I will have dinner with my friends before 4 hours.,I will have dinner with my friends before 182 minutess.,N,before,day_time,forward
2717,I will have dinner with my friends before 4 hours.,I will have dinner with my friends after 214 minutess.,N,before,day_time,forward
2718,I will have dinner with my friends before 4 hours.,I will have dinner with my friends before 472 minutess.,E,before,day_time,forward
2719,I will have dinner with my friends before 4 hours.,I will have dinner with my friends after 470 minutess.,C,before,day_time,forward
2720,I will have dinner with my friends after 4 hours.,I will have dinner with my friends before 104 minutess.,C,after,day_time,forward
2721,I will have dinner with my friends after 4 hours.,I will have dinner with my friends after 75 minutess.,E,after,day_time,forward
2722,I will have dinner with my friends after 4 hours.,I will have dinner with my friends before 498 minutess.,N,after,day_time,forward
2723,I will have dinner with my friends after 4 hours.,I will have dinner with my friends after 457 minutess.,N,after,day_time,forward
2724,"In 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 142 minutess.,C,in,day_time,backward
2725,"In 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 18 minutess.,E,in,day_time,backward
2726,"In 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 349 minutess.,E,in,day_time,backward
2727,"In 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 353 minutess.,C,in,day_time,backward
2728,"Before 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 166 minutess.,N,before,day_time,backward
2729,"Before 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 172 minutess.,N,before,day_time,backward
2730,"Before 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 392 minutess.,E,before,day_time,backward
2731,"Before 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 325 minutess.,C,before,day_time,backward
2732,"After 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 20 minutess.,C,after,day_time,backward
2733,"After 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 213 minutess.,E,after,day_time,backward
2734,"After 4 hours, I will have dinner with my friends.",I will have dinner with my friends before 255 minutess.,N,after,day_time,backward
2735,"After 4 hours, I will have dinner with my friends.",I will have dinner with my friends after 299 minutess.,N,after,day_time,backward
2736,I will have dinner with my friends in 5 hours.,I will have dinner with my friends before 76 minutess.,C,in,day_time,forward
2737,I will have dinner with my friends in 5 hours.,I will have dinner with my friends after 154 minutess.,E,in,day_time,forward
2738,I will have dinner with my friends in 5 hours.,I will have dinner with my friends before 558 minutess.,E,in,day_time,forward
2739,I will have dinner with my friends in 5 hours.,I will have dinner with my friends after 586 minutess.,C,in,day_time,forward
2740,I will have dinner with my friends before 5 hours.,I will have dinner with my friends before 119 minutess.,N,before,day_time,forward
2741,I will have dinner with my friends before 5 hours.,I will have dinner with my friends after 89 minutess.,N,before,day_time,forward
2742,I will have dinner with my friends before 5 hours.,I will have dinner with my friends before 500 minutess.,E,before,day_time,forward
2743,I will have dinner with my friends before 5 hours.,I will have dinner with my friends after 526 minutess.,C,before,day_time,forward
2744,I will have dinner with my friends after 5 hours.,I will have dinner with my friends before 270 minutess.,C,after,day_time,forward
2745,I will have dinner with my friends after 5 hours.,I will have dinner with my friends after 225 minutess.,E,after,day_time,forward
2746,I will have dinner with my friends after 5 hours.,I will have dinner with my friends before 383 minutess.,N,after,day_time,forward
2747,I will have dinner with my friends after 5 hours.,I will have dinner with my friends after 553 minutess.,N,after,day_time,forward
2748,"In 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 264 minutess.,C,in,day_time,backward
2749,"In 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 51 minutess.,E,in,day_time,backward
2750,"In 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 552 minutess.,E,in,day_time,backward
2751,"In 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 439 minutess.,C,in,day_time,backward
2752,"Before 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 102 minutess.,N,before,day_time,backward
2753,"Before 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 264 minutess.,N,before,day_time,backward
2754,"Before 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 484 minutess.,E,before,day_time,backward
2755,"Before 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 434 minutess.,C,before,day_time,backward
2756,"After 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 237 minutess.,C,after,day_time,backward
2757,"After 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 44 minutess.,E,after,day_time,backward
2758,"After 5 hours, I will have dinner with my friends.",I will have dinner with my friends before 440 minutess.,N,after,day_time,backward
2759,"After 5 hours, I will have dinner with my friends.",I will have dinner with my friends after 549 minutess.,N,after,day_time,backward
2760,I will have dinner with my friends in 6 hours.,I will have dinner with my friends before 342 minutess.,C,in,day_time,forward
2761,I will have dinner with my friends in 6 hours.,I will have dinner with my friends after 112 minutess.,E,in,day_time,forward
2762,I will have dinner with my friends in 6 hours.,I will have dinner with my friends before 517 minutess.,E,in,day_time,forward
2763,I will have dinner with my friends in 6 hours.,I will have dinner with my friends after 530 minutess.,C,in,day_time,forward
2764,I will have dinner with my friends before 6 hours.,I will have dinner with my friends before 286 minutess.,N,before,day_time,forward
2765,I will have dinner with my friends before 6 hours.,I will have dinner with my friends after 297 minutess.,N,before,day_time,forward
2766,I will have dinner with my friends before 6 hours.,I will have dinner with my friends before 601 minutess.,E,before,day_time,forward
2767,I will have dinner with my friends before 6 hours.,I will have dinner with my friends after 435 minutess.,C,before,day_time,forward
2768,I will have dinner with my friends after 6 hours.,I will have dinner with my friends before 219 minutess.,C,after,day_time,forward
2769,I will have dinner with my friends after 6 hours.,I will have dinner with my friends after 109 minutess.,E,after,day_time,forward
2770,I will have dinner with my friends after 6 hours.,I will have dinner with my friends before 565 minutess.,N,after,day_time,forward
2771,I will have dinner with my friends after 6 hours.,I will have dinner with my friends after 509 minutess.,N,after,day_time,forward
2772,"In 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 287 minutess.,C,in,day_time,backward
2773,"In 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 340 minutess.,E,in,day_time,backward
2774,"In 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 577 minutess.,E,in,day_time,backward
2775,"In 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 564 minutess.,C,in,day_time,backward
2776,"Before 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 62 minutess.,N,before,day_time,backward
2777,"Before 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 189 minutess.,N,before,day_time,backward
2778,"Before 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 627 minutess.,E,before,day_time,backward
2779,"Before 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 657 minutess.,C,before,day_time,backward
2780,"After 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 299 minutess.,C,after,day_time,backward
2781,"After 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 288 minutess.,E,after,day_time,backward
2782,"After 6 hours, I will have dinner with my friends.",I will have dinner with my friends before 470 minutess.,N,after,day_time,backward
2783,"After 6 hours, I will have dinner with my friends.",I will have dinner with my friends after 558 minutess.,N,after,day_time,backward
2784,I will have dinner with my friends in 7 hours.,I will have dinner with my friends before 286 minutess.,C,in,day_time,forward
2785,I will have dinner with my friends in 7 hours.,I will have dinner with my friends after 365 minutess.,E,in,day_time,forward
2786,I will have dinner with my friends in 7 hours.,I will have dinner with my friends before 449 minutess.,E,in,day_time,forward
2787,I will have dinner with my friends in 7 hours.,I will have dinner with my friends after 438 minutess.,C,in,day_time,forward
2788,I will have dinner with my friends before 7 hours.,I will have dinner with my friends before 285 minutess.,N,before,day_time,forward
2789,I will have dinner with my friends before 7 hours.,I will have dinner with my friends after 195 minutess.,N,before,day_time,forward
2790,I will have dinner with my friends before 7 hours.,I will have dinner with my friends before 586 minutess.,E,before,day_time,forward
2791,I will have dinner with my friends before 7 hours.,I will have dinner with my friends after 660 minutess.,C,before,day_time,forward
2792,I will have dinner with my friends after 7 hours.,I will have dinner with my friends before 296 minutess.,C,after,day_time,forward
2793,I will have dinner with my friends after 7 hours.,I will have dinner with my friends after 301 minutess.,E,after,day_time,forward
2794,I will have dinner with my friends after 7 hours.,I will have dinner with my friends before 493 minutess.,N,after,day_time,forward
2795,I will have dinner with my friends after 7 hours.,I will have dinner with my friends after 607 minutess.,N,after,day_time,forward
2796,"In 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 125 minutess.,C,in,day_time,backward
2797,"In 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 371 minutess.,E,in,day_time,backward
2798,"In 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 484 minutess.,E,in,day_time,backward
2799,"In 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 677 minutess.,C,in,day_time,backward
2800,"Before 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 222 minutess.,N,before,day_time,backward
2801,"Before 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 150 minutess.,N,before,day_time,backward
2802,"Before 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 711 minutess.,E,before,day_time,backward
2803,"Before 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 679 minutess.,C,before,day_time,backward
2804,"After 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 357 minutess.,C,after,day_time,backward
2805,"After 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 413 minutess.,E,after,day_time,backward
2806,"After 7 hours, I will have dinner with my friends.",I will have dinner with my friends before 699 minutess.,N,after,day_time,backward
2807,"After 7 hours, I will have dinner with my friends.",I will have dinner with my friends after 586 minutess.,N,after,day_time,backward
2808,I will have dinner with my friends in 8 hours.,I will have dinner with my friends before 364 minutess.,C,in,day_time,forward
2809,I will have dinner with my friends in 8 hours.,I will have dinner with my friends after 247 minutess.,E,in,day_time,forward
2810,I will have dinner with my friends in 8 hours.,I will have dinner with my friends before 584 minutess.,E,in,day_time,forward
2811,I will have dinner with my friends in 8 hours.,I will have dinner with my friends after 640 minutess.,C,in,day_time,forward
2812,I will have dinner with my friends before 8 hours.,I will have dinner with my friends before 400 minutess.,N,before,day_time,forward
2813,I will have dinner with my friends before 8 hours.,I will have dinner with my friends after 438 minutess.,N,before,day_time,forward
2814,I will have dinner with my friends before 8 hours.,I will have dinner with my friends before 621 minutess.,E,before,day_time,forward
2815,I will have dinner with my friends before 8 hours.,I will have dinner with my friends after 532 minutess.,C,before,day_time,forward
2816,I will have dinner with my friends after 8 hours.,I will have dinner with my friends before 449 minutess.,C,after,day_time,forward
2817,I will have dinner with my friends after 8 hours.,I will have dinner with my friends after 189 minutess.,E,after,day_time,forward
2818,I will have dinner with my friends after 8 hours.,I will have dinner with my friends before 609 minutess.,N,after,day_time,forward
2819,I will have dinner with my friends after 8 hours.,I will have dinner with my friends after 565 minutess.,N,after,day_time,forward
2820,"In 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 449 minutess.,C,in,day_time,backward
2821,"In 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 469 minutess.,E,in,day_time,backward
2822,"In 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 672 minutess.,E,in,day_time,backward
2823,"In 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 726 minutess.,C,in,day_time,backward
2824,"Before 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 439 minutess.,N,before,day_time,backward
2825,"Before 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 246 minutess.,N,before,day_time,backward
2826,"Before 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 766 minutess.,E,before,day_time,backward
2827,"Before 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 765 minutess.,C,before,day_time,backward
2828,"After 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 207 minutess.,C,after,day_time,backward
2829,"After 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 300 minutess.,E,after,day_time,backward
2830,"After 8 hours, I will have dinner with my friends.",I will have dinner with my friends before 694 minutess.,N,after,day_time,backward
2831,"After 8 hours, I will have dinner with my friends.",I will have dinner with my friends after 531 minutess.,N,after,day_time,backward
2832,I will have dinner with my friends in 9 hours.,I will have dinner with my friends before 370 minutess.,C,in,day_time,forward
2833,I will have dinner with my friends in 9 hours.,I will have dinner with my friends after 401 minutess.,E,in,day_time,forward
2834,I will have dinner with my friends in 9 hours.,I will have dinner with my friends before 571 minutess.,E,in,day_time,forward
2835,I will have dinner with my friends in 9 hours.,I will have dinner with my friends after 547 minutess.,C,in,day_time,forward
2836,I will have dinner with my friends before 9 hours.,I will have dinner with my friends before 288 minutess.,N,before,day_time,forward
2837,I will have dinner with my friends before 9 hours.,I will have dinner with my friends after 241 minutess.,N,before,day_time,forward
2838,I will have dinner with my friends before 9 hours.,I will have dinner with my friends before 830 minutess.,E,before,day_time,forward
2839,I will have dinner with my friends before 9 hours.,I will have dinner with my friends after 821 minutess.,C,before,day_time,forward
2840,I will have dinner with my friends after 9 hours.,I will have dinner with my friends before 342 minutess.,C,after,day_time,forward
2841,I will have dinner with my friends after 9 hours.,I will have dinner with my friends after 354 minutess.,E,after,day_time,forward
2842,I will have dinner with my friends after 9 hours.,I will have dinner with my friends before 780 minutess.,N,after,day_time,forward
2843,I will have dinner with my friends after 9 hours.,I will have dinner with my friends after 613 minutess.,N,after,day_time,forward
2844,"In 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 529 minutess.,C,in,day_time,backward
2845,"In 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 529 minutess.,E,in,day_time,backward
2846,"In 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 725 minutess.,E,in,day_time,backward
2847,"In 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 594 minutess.,C,in,day_time,backward
2848,"Before 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 501 minutess.,N,before,day_time,backward
2849,"Before 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 433 minutess.,N,before,day_time,backward
2850,"Before 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 601 minutess.,E,before,day_time,backward
2851,"Before 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 769 minutess.,C,before,day_time,backward
2852,"After 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 355 minutess.,C,after,day_time,backward
2853,"After 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 305 minutess.,E,after,day_time,backward
2854,"After 9 hours, I will have dinner with my friends.",I will have dinner with my friends before 760 minutess.,N,after,day_time,backward
2855,"After 9 hours, I will have dinner with my friends.",I will have dinner with my friends after 728 minutess.,N,after,day_time,backward
2856,I will have dinner with my friends in 10 hours.,I will have dinner with my friends before 369 minutess.,C,in,day_time,forward
2857,I will have dinner with my friends in 10 hours.,I will have dinner with my friends after 442 minutess.,E,in,day_time,forward
2858,I will have dinner with my friends in 10 hours.,I will have dinner with my friends before 618 minutess.,E,in,day_time,forward
2859,I will have dinner with my friends in 10 hours.,I will have dinner with my friends after 850 minutess.,C,in,day_time,forward
2860,I will have dinner with my friends before 10 hours.,I will have dinner with my friends before 459 minutess.,N,before,day_time,forward
2861,I will have dinner with my friends before 10 hours.,I will have dinner with my friends after 425 minutess.,N,before,day_time,forward
2862,I will have dinner with my friends before 10 hours.,I will have dinner with my friends before 798 minutess.,E,before,day_time,forward
2863,I will have dinner with my friends before 10 hours.,I will have dinner with my friends after 727 minutess.,C,before,day_time,forward
2864,I will have dinner with my friends after 10 hours.,I will have dinner with my friends before 396 minutess.,C,after,day_time,forward
2865,I will have dinner with my friends after 10 hours.,I will have dinner with my friends after 593 minutess.,E,after,day_time,forward
2866,I will have dinner with my friends after 10 hours.,I will have dinner with my friends before 679 minutess.,N,after,day_time,forward
2867,I will have dinner with my friends after 10 hours.,I will have dinner with my friends after 622 minutess.,N,after,day_time,forward
2868,"In 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 410 minutess.,C,in,day_time,backward
2869,"In 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 525 minutess.,E,in,day_time,backward
2870,"In 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 641 minutess.,E,in,day_time,backward
2871,"In 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 872 minutess.,C,in,day_time,backward
2872,"Before 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 492 minutess.,N,before,day_time,backward
2873,"Before 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 456 minutess.,N,before,day_time,backward
2874,"Before 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 828 minutess.,E,before,day_time,backward
2875,"Before 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 829 minutess.,C,before,day_time,backward
2876,"After 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 380 minutess.,C,after,day_time,backward
2877,"After 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 338 minutess.,E,after,day_time,backward
2878,"After 10 hours, I will have dinner with my friends.",I will have dinner with my friends before 734 minutess.,N,after,day_time,backward
2879,"After 10 hours, I will have dinner with my friends.",I will have dinner with my friends after 879 minutess.,N,after,day_time,backward
2880,I will have dinner with my friends in 1 day.,I will have dinner with my friends before 23 hours.,C,in,day,forward
2881,I will have dinner with my friends in 1 day.,I will have dinner with my friends after 5 hours.,E,in,day,forward
2882,I will have dinner with my friends in 1 day.,I will have dinner with my friends before 128 hours.,E,in,day,forward
2883,I will have dinner with my friends in 1 day.,I will have dinner with my friends after 138 hours.,C,in,day,forward
2884,I will have dinner with my friends before 1 day.,I will have dinner with my friends before 7 hours.,N,before,day,forward
2885,I will have dinner with my friends before 1 day.,I will have dinner with my friends after 20 hours.,N,before,day,forward
2886,I will have dinner with my friends before 1 day.,I will have dinner with my friends before 131 hours.,E,before,day,forward
2887,I will have dinner with my friends before 1 day.,I will have dinner with my friends after 96 hours.,C,before,day,forward
2888,I will have dinner with my friends after 1 day.,I will have dinner with my friends before 11 hours.,C,after,day,forward
2889,I will have dinner with my friends after 1 day.,I will have dinner with my friends after 19 hours.,E,after,day,forward
2890,I will have dinner with my friends after 1 day.,I will have dinner with my friends before 64 hours.,N,after,day,forward
2891,I will have dinner with my friends after 1 day.,I will have dinner with my friends after 135 hours.,N,after,day,forward
2892,"In 1 day, I will have dinner with my friends.",I will have dinner with my friends before 19 hours.,C,in,day,backward
2893,"In 1 day, I will have dinner with my friends.",I will have dinner with my friends after 7 hours.,E,in,day,backward
2894,"In 1 day, I will have dinner with my friends.",I will have dinner with my friends before 33 hours.,E,in,day,backward
2895,"In 1 day, I will have dinner with my friends.",I will have dinner with my friends after 101 hours.,C,in,day,backward
2896,"Before 1 day, I will have dinner with my friends.",I will have dinner with my friends before 3 hours.,N,before,day,backward
2897,"Before 1 day, I will have dinner with my friends.",I will have dinner with my friends after 5 hours.,N,before,day,backward
2898,"Before 1 day, I will have dinner with my friends.",I will have dinner with my friends before 65 hours.,E,before,day,backward
2899,"Before 1 day, I will have dinner with my friends.",I will have dinner with my friends after 136 hours.,C,before,day,backward
2900,"After 1 day, I will have dinner with my friends.",I will have dinner with my friends before 18 hours.,C,after,day,backward
2901,"After 1 day, I will have dinner with my friends.",I will have dinner with my friends after 18 hours.,E,after,day,backward
2902,"After 1 day, I will have dinner with my friends.",I will have dinner with my friends before 40 hours.,N,after,day,backward
2903,"After 1 day, I will have dinner with my friends.",I will have dinner with my friends after 31 hours.,N,after,day,backward
2904,I will have dinner with my friends in 2 days.,I will have dinner with my friends before 12 hours.,C,in,day,forward
2905,I will have dinner with my friends in 2 days.,I will have dinner with my friends after 4 hours.,E,in,day,forward
2906,I will have dinner with my friends in 2 days.,I will have dinner with my friends before 138 hours.,E,in,day,forward
2907,I will have dinner with my friends in 2 days.,I will have dinner with my friends after 91 hours.,C,in,day,forward
2908,I will have dinner with my friends before 2 days.,I will have dinner with my friends before 9 hours.,N,before,day,forward
2909,I will have dinner with my friends before 2 days.,I will have dinner with my friends after 8 hours.,N,before,day,forward
2910,I will have dinner with my friends before 2 days.,I will have dinner with my friends before 86 hours.,E,before,day,forward
2911,I will have dinner with my friends before 2 days.,I will have dinner with my friends after 153 hours.,C,before,day,forward
2912,I will have dinner with my friends after 2 days.,I will have dinner with my friends before 40 hours.,C,after,day,forward
2913,I will have dinner with my friends after 2 days.,I will have dinner with my friends after 17 hours.,E,after,day,forward
2914,I will have dinner with my friends after 2 days.,I will have dinner with my friends before 55 hours.,N,after,day,forward
2915,I will have dinner with my friends after 2 days.,I will have dinner with my friends after 105 hours.,N,after,day,forward
2916,"In 2 days, I will have dinner with my friends.",I will have dinner with my friends before 24 hours.,C,in,day,backward
2917,"In 2 days, I will have dinner with my friends.",I will have dinner with my friends after 19 hours.,E,in,day,backward
2918,"In 2 days, I will have dinner with my friends.",I will have dinner with my friends before 168 hours.,E,in,day,backward
2919,"In 2 days, I will have dinner with my friends.",I will have dinner with my friends after 133 hours.,C,in,day,backward
2920,"Before 2 days, I will have dinner with my friends.",I will have dinner with my friends before 42 hours.,N,before,day,backward
2921,"Before 2 days, I will have dinner with my friends.",I will have dinner with my friends after 33 hours.,N,before,day,backward
2922,"Before 2 days, I will have dinner with my friends.",I will have dinner with my friends before 139 hours.,E,before,day,backward
2923,"Before 2 days, I will have dinner with my friends.",I will have dinner with my friends after 114 hours.,C,before,day,backward
2924,"After 2 days, I will have dinner with my friends.",I will have dinner with my friends before 42 hours.,C,after,day,backward
2925,"After 2 days, I will have dinner with my friends.",I will have dinner with my friends after 22 hours.,E,after,day,backward
2926,"After 2 days, I will have dinner with my friends.",I will have dinner with my friends before 98 hours.,N,after,day,backward
2927,"After 2 days, I will have dinner with my friends.",I will have dinner with my friends after 149 hours.,N,after,day,backward
2928,I will have dinner with my friends in 3 days.,I will have dinner with my friends before 51 hours.,C,in,day,forward
2929,I will have dinner with my friends in 3 days.,I will have dinner with my friends after 38 hours.,E,in,day,forward
2930,I will have dinner with my friends in 3 days.,I will have dinner with my friends before 111 hours.,E,in,day,forward
2931,I will have dinner with my friends in 3 days.,I will have dinner with my friends after 163 hours.,C,in,day,forward
2932,I will have dinner with my friends before 3 days.,I will have dinner with my friends before 54 hours.,N,before,day,forward
2933,I will have dinner with my friends before 3 days.,I will have dinner with my friends after 37 hours.,N,before,day,forward
2934,I will have dinner with my friends before 3 days.,I will have dinner with my friends before 111 hours.,E,before,day,forward
2935,I will have dinner with my friends before 3 days.,I will have dinner with my friends after 188 hours.,C,before,day,forward
2936,I will have dinner with my friends after 3 days.,I will have dinner with my friends before 62 hours.,C,after,day,forward
2937,I will have dinner with my friends after 3 days.,I will have dinner with my friends after 70 hours.,E,after,day,forward
2938,I will have dinner with my friends after 3 days.,I will have dinner with my friends before 134 hours.,N,after,day,forward
2939,I will have dinner with my friends after 3 days.,I will have dinner with my friends after 82 hours.,N,after,day,forward
2940,"In 3 days, I will have dinner with my friends.",I will have dinner with my friends before 36 hours.,C,in,day,backward
2941,"In 3 days, I will have dinner with my friends.",I will have dinner with my friends after 54 hours.,E,in,day,backward
2942,"In 3 days, I will have dinner with my friends.",I will have dinner with my friends before 76 hours.,E,in,day,backward
2943,"In 3 days, I will have dinner with my friends.",I will have dinner with my friends after 146 hours.,C,in,day,backward
2944,"Before 3 days, I will have dinner with my friends.",I will have dinner with my friends before 43 hours.,N,before,day,backward
2945,"Before 3 days, I will have dinner with my friends.",I will have dinner with my friends after 70 hours.,N,before,day,backward
2946,"Before 3 days, I will have dinner with my friends.",I will have dinner with my friends before 130 hours.,E,before,day,backward
2947,"Before 3 days, I will have dinner with my friends.",I will have dinner with my friends after 132 hours.,C,before,day,backward
2948,"After 3 days, I will have dinner with my friends.",I will have dinner with my friends before 5 hours.,C,after,day,backward
2949,"After 3 days, I will have dinner with my friends.",I will have dinner with my friends after 31 hours.,E,after,day,backward
2950,"After 3 days, I will have dinner with my friends.",I will have dinner with my friends before 160 hours.,N,after,day,backward
2951,"After 3 days, I will have dinner with my friends.",I will have dinner with my friends after 133 hours.,N,after,day,backward
2952,I will have dinner with my friends in 4 days.,I will have dinner with my friends before 21 hours.,C,in,day,forward
2953,I will have dinner with my friends in 4 days.,I will have dinner with my friends after 89 hours.,E,in,day,forward
2954,I will have dinner with my friends in 4 days.,I will have dinner with my friends before 203 hours.,E,in,day,forward
2955,I will have dinner with my friends in 4 days.,I will have dinner with my friends after 200 hours.,C,in,day,forward
2956,I will have dinner with my friends before 4 days.,I will have dinner with my friends before 79 hours.,N,before,day,forward
2957,I will have dinner with my friends before 4 days.,I will have dinner with my friends after 36 hours.,N,before,day,forward
2958,I will have dinner with my friends before 4 days.,I will have dinner with my friends before 169 hours.,E,before,day,forward
2959,I will have dinner with my friends before 4 days.,I will have dinner with my friends after 192 hours.,C,before,day,forward
2960,I will have dinner with my friends after 4 days.,I will have dinner with my friends before 31 hours.,C,after,day,forward
2961,I will have dinner with my friends after 4 days.,I will have dinner with my friends after 26 hours.,E,after,day,forward
2962,I will have dinner with my friends after 4 days.,I will have dinner with my friends before 193 hours.,N,after,day,forward
2963,I will have dinner with my friends after 4 days.,I will have dinner with my friends after 203 hours.,N,after,day,forward
2964,"In 4 days, I will have dinner with my friends.",I will have dinner with my friends before 63 hours.,C,in,day,backward
2965,"In 4 days, I will have dinner with my friends.",I will have dinner with my friends after 94 hours.,E,in,day,backward
2966,"In 4 days, I will have dinner with my friends.",I will have dinner with my friends before 197 hours.,E,in,day,backward
2967,"In 4 days, I will have dinner with my friends.",I will have dinner with my friends after 148 hours.,C,in,day,backward
2968,"Before 4 days, I will have dinner with my friends.",I will have dinner with my friends before 93 hours.,N,before,day,backward
2969,"Before 4 days, I will have dinner with my friends.",I will have dinner with my friends after 3 hours.,N,before,day,backward
2970,"Before 4 days, I will have dinner with my friends.",I will have dinner with my friends before 117 hours.,E,before,day,backward
2971,"Before 4 days, I will have dinner with my friends.",I will have dinner with my friends after 209 hours.,C,before,day,backward
2972,"After 4 days, I will have dinner with my friends.",I will have dinner with my friends before 41 hours.,C,after,day,backward
2973,"After 4 days, I will have dinner with my friends.",I will have dinner with my friends after 95 hours.,E,after,day,backward
2974,"After 4 days, I will have dinner with my friends.",I will have dinner with my friends before 127 hours.,N,after,day,backward
2975,"After 4 days, I will have dinner with my friends.",I will have dinner with my friends after 183 hours.,N,after,day,backward
2976,I will have dinner with my friends in 5 days.,I will have dinner with my friends before 73 hours.,C,in,day,forward
2977,I will have dinner with my friends in 5 days.,I will have dinner with my friends after 75 hours.,E,in,day,forward
2978,I will have dinner with my friends in 5 days.,I will have dinner with my friends before 158 hours.,E,in,day,forward
2979,I will have dinner with my friends in 5 days.,I will have dinner with my friends after 219 hours.,C,in,day,forward
2980,I will have dinner with my friends before 5 days.,I will have dinner with my friends before 24 hours.,N,before,day,forward
2981,I will have dinner with my friends before 5 days.,I will have dinner with my friends after 60 hours.,N,before,day,forward
2982,I will have dinner with my friends before 5 days.,I will have dinner with my friends before 194 hours.,E,before,day,forward
2983,I will have dinner with my friends before 5 days.,I will have dinner with my friends after 182 hours.,C,before,day,forward
2984,I will have dinner with my friends after 5 days.,I will have dinner with my friends before 21 hours.,C,after,day,forward
2985,I will have dinner with my friends after 5 days.,I will have dinner with my friends after 113 hours.,E,after,day,forward
2986,I will have dinner with my friends after 5 days.,I will have dinner with my friends before 212 hours.,N,after,day,forward
2987,I will have dinner with my friends after 5 days.,I will have dinner with my friends after 188 hours.,N,after,day,forward
