,Premise,Hypothesis,Label,Type,Prem Fixed,Temp Type
657,The prison sentence of that convict ends at 06:00.,The prison sentence of that convict ends before 03:00.,Contradiction,SINGLE_day_time_24,True,Forward
658,This article was published at 02:00.,This article was published before 03:00.,Entailment,SINGLE_day_time_24,True,Forward
659,I posted this picture on Instagram at 18:00.,I posted this picture on Instagram before 08:00.,Contradiction,SINGLE_day_time_24,True,Forward
660,They got married before 05:00.,They got married after 04:00.,Neutral,SINGLE_day_time_24,False,Forward
661,We went to Disneyland after 07:00.,We went to Disneyland before 05:00.,Contradiction,SINGLE_day_time_24,False,Forward
662,Michael will buy the house before 16:00.,Michael will buy the house after 10:00.,Neutral,SINGLE_day_time_24,False,Forward
663,Lily flew to New York before 13:00.,Lily flew to New York before 06:00.,Neutral,SINGLE_day_time_24,False,Forward
664,The music concert starts after 04:00.,The music concert starts after 15:00.,Neutral,SINGLE_day_time_24,False,Forward
665,The tiger was last spotted after 12:00.,The tiger was last spotted after 08:00.,Entailment,SINGLE_day_time_24,False,Forward
666,I last had dinner with my friends before 01:00.,I last had dinner with my friends after 07:00.,Contradiction,SINGLE_day_time_24,False,Forward
667,He left his job after 19:00.,He left his job after 23:00.,Neutral,SINGLE_day_time_24,False,Forward
668,The conference was held before 10:00.,The conference was held before 07:00.,Neutral,SINGLE_day_time_24,False,Forward
669,The city had a huge power outage after 19:00.,The city had a huge power outage after 15:00.,Entailment,SINGLE_day_time_24,False,Forward
670,A tsunami hit the coast before 02:00.,A tsunami hit the coast before 08:00.,Entailment,SINGLE_day_time_24,False,Forward
671,This team won the world cup after 13:00.,This team won the world cup before 04:00.,Contradiction,SINGLE_day_time_24,False,Forward
672,Her internship at Google began before 07:00.,Her internship at Google began before 00:00.,Neutral,SINGLE_day_time_24,False,Forward
673,The country declared martial law after 14:00.,The country declared martial law after 12:00.,Entailment,SINGLE_day_time_24,False,Forward
674,The price of this stock peaked after 11:00.,The price of this stock peaked before 06:00.,Contradiction,SINGLE_day_time_24,False,Forward
675,The failing company issued major layoffs before 08:00.,The failing company issued major layoffs after 12:00.,Contradiction,SINGLE_day_time_24,False,Forward
676,The government budget comes out before 05:00.,The government budget comes out after 07:00.,Contradiction,SINGLE_day_time_24,False,Forward
677,The prison sentence of that convict ends after 16:00.,The prison sentence of that convict ends before 19:00.,Neutral,SINGLE_day_time_24,False,Forward
678,This article was published after 12:00.,This article was published before 10:00.,Contradiction,SINGLE_day_time_24,False,Forward
679,I posted this picture on Instagram after 11:00.,I posted this picture on Instagram before 11:00.,Contradiction,SINGLE_day_time_24,False,Forward
680,"At 11:00, they got married.","After 04:00, they got married.",Entailment,SINGLE_day_time_24,True,Backward
681,"At 05:00, we went to Disneyland.","After 00:00, we went to Disneyland.",Entailment,SINGLE_day_time_24,True,Backward
682,"At 15:00, Michael will buy the house.","Before 15:00, Michael will buy the house.",Contradiction,SINGLE_day_time_24,True,Backward
683,"At 00:00, Lily flew to New York.","After 00:00, Lily flew to New York.",Contradiction,SINGLE_day_time_24,True,Backward
684,"At 04:00, the music concert starts.","Before 07:00, the music concert starts.",Entailment,SINGLE_day_time_24,True,Backward
685,"At 16:00, the tiger was last spotted.","Before 04:00, the tiger was last spotted.",Contradiction,SINGLE_day_time_24,True,Backward
686,"At 20:00, I last had dinner with my friends.","After 09:00, I last had dinner with my friends.",Entailment,SINGLE_day_time_24,True,Backward
687,"At 16:00, he left his job.","After 23:00, he left his job.",Contradiction,SINGLE_day_time_24,True,Backward
688,"At 00:00, the conference was held.","Before 06:00, the conference was held.",Entailment,SINGLE_day_time_24,True,Backward
689,"At 14:00, the city had a huge power outage.","Before 10:00, the city had a huge power outage.",Contradiction,SINGLE_day_time_24,True,Backward
690,"At 05:00, a tsunami hit the coast.","After 05:00, a tsunami hit the coast.",Contradiction,SINGLE_day_time_24,True,Backward
691,"At 09:00, this team won the world cup.","Before 19:00, this team won the world cup.",Entailment,SINGLE_day_time_24,True,Backward
692,"At 23:00, her internship at Google began.","Before 13:00, her internship at Google began.",Contradiction,SINGLE_day_time_24,True,Backward
693,"At 18:00, the country declared martial law.","After 11:00, the country declared martial law.",Entailment,SINGLE_day_time_24,True,Backward
694,"At 01:00, the price of this stock peaked.","After 08:00, the price of this stock peaked.",Contradiction,SINGLE_day_time_24,True,Backward
695,"At 23:00, the failing company issued major layoffs.","After 14:00, the failing company issued major layoffs.",Entailment,SINGLE_day_time_24,True,Backward
696,"At 19:00, the government budget comes out.","Before 14:00, the government budget comes out.",Contradiction,SINGLE_day_time_24,True,Backward
697,"At 19:00, the prison sentence of that convict ends.","Before 20:00, the prison sentence of that convict ends.",Entailment,SINGLE_day_time_24,True,Backward
698,"At 16:00, this article was published.","After 10:00, this article was published.",Entailment,SINGLE_day_time_24,True,Backward
699,"At 07:00, I posted this picture on Instagram.","After 05:00, I posted this picture on Instagram.",Entailment,SINGLE_day_time_24,True,Backward
700,"Before 17:00, they got married.","After 19:00, they got married.",Contradiction,SINGLE_day_time_24,False,Backward
701,"After 00:00, we went to Disneyland.","Before 04:00, we went to Disneyland.",Neutral,SINGLE_day_time_24,False,Backward
702,"Before 04:00, Michael will buy the house.","Before 03:00, Michael will buy the house.",Neutral,SINGLE_day_time_24,False,Backward
703,"After 12:00, Lily flew to New York.","After 22:00, Lily flew to New York.",Neutral,SINGLE_day_time_24,False,Backward
704,"Before 15:00, the music concert starts.","After 19:00, the music concert starts.",Contradiction,SINGLE_day_time_24,False,Backward
705,"Before 11:00, the tiger was last spotted.","After 19:00, the tiger was last spotted.",Contradiction,SINGLE_day_time_24,False,Backward
706,"After 07:00, I last had dinner with my friends.","Before 03:00, I last had dinner with my friends.",Contradiction,SINGLE_day_time_24,False,Backward
707,"After 23:00, he left his job.","Before 21:00, he left his job.",Contradiction,SINGLE_day_time_24,False,Backward
708,"Before 06:00, the conference was held.","After 15:00, the conference was held.",Contradiction,SINGLE_day_time_24,False,Backward
709,"After 18:00, the city had a huge power outage.","Before 10:00, the city had a huge power outage.",Contradiction,SINGLE_day_time_24,False,Backward
710,"Before 10:00, a tsunami hit the coast.","After 19:00, a tsunami hit the coast.",Contradiction,SINGLE_day_time_24,False,Backward
711,"After 00:00, this team won the world cup.","After 07:00, this team won the world cup.",Neutral,SINGLE_day_time_24,False,Backward
712,"Before 16:00, her internship at Google began.","After 21:00, her internship at Google began.",Contradiction,SINGLE_day_time_24,False,Backward
713,"After 21:00, the country declared martial law.","Before 23:00, the country declared martial law.",Neutral,SINGLE_day_time_24,False,Backward
714,"Before 06:00, the price of this stock peaked.","After 17:00, the price of this stock peaked.",Contradiction,SINGLE_day_time_24,False,Backward
715,"Before 05:00, the failing company issued major layoffs.","After 13:00, the failing company issued major layoffs.",Contradiction,SINGLE_day_time_24,False,Backward
716,"After 13:00, the government budget comes out.","After 20:00, the government budget comes out.",Neutral,SINGLE_day_time_24,False,Backward
717,"Before 17:00, the prison sentence of that convict ends.","Before 11:00, the prison sentence of that convict ends.",Neutral,SINGLE_day_time_24,False,Backward
718,"After 14:00, this article was published.","Before 03:00, this article was published.",Contradiction,SINGLE_day_time_24,False,Backward
719,"After 22:00, I posted this picture on Instagram.","Before 19:00, I posted this picture on Instagram.",Contradiction,SINGLE_day_time_24,False,Backward
720,They got married at 02:00.,They got married after 10:00.,Contradiction,SINGLE_day_time_24,True,Forward
721,We went to Disneyland at 09:00.,We went to Disneyland before 18:00.,Entailment,SINGLE_day_time_24,True,Forward
722,Michael will buy the house at 23:00.,Michael will buy the house before 22:00.,Contradiction,SINGLE_day_time_24,True,Forward
723,Lily flew to New York at 14:00.,Lily flew to New York before 04:00.,Contradiction,SINGLE_day_time_24,True,Forward
724,The music concert starts at 15:00.,The music concert starts after 10:00.,Entailment,SINGLE_day_time_24,True,Forward
725,The tiger was last spotted at 02:00.,The tiger was last spotted after 06:00.,Contradiction,SINGLE_day_time_24,True,Forward
726,I last had dinner with my friends at 23:00.,I last had dinner with my friends after 14:00.,Entailment,SINGLE_day_time_24,True,Forward
727,He left his job at 08:00.,He left his job after 06:00.,Entailment,SINGLE_day_time_24,True,Forward
728,The conference was held at 21:00.,The conference was held after 22:00.,Contradiction,SINGLE_day_time_24,True,Forward
729,The city had a huge power outage at 08:00.,The city had a huge power outage after 17:00.,Contradiction,SINGLE_day_time_24,True,Forward
730,A tsunami hit the coast at 10:00.,A tsunami hit the coast before 04:00.,Contradiction,SINGLE_day_time_24,True,Forward
731,This team won the world cup at 04:00.,This team won the world cup after 00:00.,Entailment,SINGLE_day_time_24,True,Forward
732,Her internship at Google began at 12:00.,Her internship at Google began before 11:00.,Contradiction,SINGLE_day_time_24,True,Forward
733,The country declared martial law at 06:00.,The country declared martial law after 11:00.,Contradiction,SINGLE_day_time_24,True,Forward
734,The price of this stock peaked at 16:00.,The price of this stock peaked before 18:00.,Entailment,SINGLE_day_time_24,True,Forward
735,The failing company issued major layoffs at 12:00.,The failing company issued major layoffs before 12:00.,Contradiction,SINGLE_day_time_24,True,Forward
736,The government budget comes out at 08:00.,The government budget comes out after 04:00.,Entailment,SINGLE_day_time_24,True,Forward
737,The prison sentence of that convict ends at 20:00.,The prison sentence of that convict ends after 20:00.,Contradiction,SINGLE_day_time_24,True,Forward
738,This article was published at 00:00.,This article was published after 04:00.,Contradiction,SINGLE_day_time_24,True,Forward
739,I posted this picture on Instagram at 23:00.,I posted this picture on Instagram after 20:00.,Entailment,SINGLE_day_time_24,True,Forward
740,They got married after 05:00.,They got married before 08:00.,Neutral,SINGLE_day_time_24,False,Forward
741,We went to Disneyland before 16:00.,We went to Disneyland after 21:00.,Contradiction,SINGLE_day_time_24,False,Forward
742,Michael will buy the house before 01:00.,Michael will buy the house after 10:00.,Contradiction,SINGLE_day_time_24,False,Forward
743,Lily flew to New York before 19:00.,Lily flew to New York after 22:00.,Contradiction,SINGLE_day_time_24,False,Forward
744,The music concert starts after 11:00.,The music concert starts before 21:00.,Neutral,SINGLE_day_time_24,False,Forward
745,The tiger was last spotted before 22:00.,The tiger was last spotted after 15:00.,Neutral,SINGLE_day_time_24,False,Forward
746,I last had dinner with my friends before 20:00.,I last had dinner with my friends before 22:00.,Entailment,SINGLE_day_time_24,False,Forward
747,He left his job after 10:00.,He left his job before 20:00.,Neutral,SINGLE_day_time_24,False,Forward
748,The conference was held after 13:00.,The conference was held after 17:00.,Neutral,SINGLE_day_time_24,False,Forward
749,The city had a huge power outage before 16:00.,The city had a huge power outage after 11:00.,Neutral,SINGLE_day_time_24,False,Forward
750,A tsunami hit the coast before 23:00.,A tsunami hit the coast before 21:00.,Neutral,SINGLE_day_time_24,False,Forward
751,This team won the world cup after 04:00.,This team won the world cup before 00:00.,Contradiction,SINGLE_day_time_24,False,Forward
752,Her internship at Google began after 07:00.,Her internship at Google began before 16:00.,Neutral,SINGLE_day_time_24,False,Forward
753,The country declared martial law before 06:00.,The country declared martial law before 09:00.,Entailment,SINGLE_day_time_24,False,Forward
754,The price of this stock peaked after 03:00.,The price of this stock peaked after 12:00.,Neutral,SINGLE_day_time_24,False,Forward
755,The failing company issued major layoffs before 08:00.,The failing company issued major layoffs after 16:00.,Contradiction,SINGLE_day_time_24,False,Forward
756,The government budget comes out before 08:00.,The government budget comes out before 10:00.,Entailment,SINGLE_day_time_24,False,Forward
757,The prison sentence of that convict ends before 02:00.,The prison sentence of that convict ends before 06:00.,Entailment,SINGLE_day_time_24,False,Forward
758,This article was published before 04:00.,This article was published after 01:00.,Neutral,SINGLE_day_time_24,False,Forward
759,I posted this picture on Instagram before 18:00.,I posted this picture on Instagram before 13:00.,Neutral,SINGLE_day_time_24,False,Forward
760,"At 14:00, they got married.","After 08:00, they got married.",Entailment,SINGLE_day_time_24,True,Backward
761,"At 08:00, we went to Disneyland.","After 05:00, we went to Disneyland.",Entailment,SINGLE_day_time_24,True,Backward
762,"At 21:00, Michael will buy the house.","After 11:00, Michael will buy the house.",Entailment,SINGLE_day_time_24,True,Backward
763,"At 05:00, Lily flew to New York.","Before 01:00, Lily flew to New York.",Contradiction,SINGLE_day_time_24,True,Backward
764,"At 08:00, the music concert starts.","Before 11:00, the music concert starts.",Entailment,SINGLE_day_time_24,True,Backward
765,"At 00:00, the tiger was last spotted.","After 09:00, the tiger was last spotted.",Contradiction,SINGLE_day_time_24,True,Backward
766,"At 23:00, I last had dinner with my friends.","Before 21:00, I last had dinner with my friends.",Contradiction,SINGLE_day_time_24,True,Backward
767,"At 15:00, he left his job.","Before 12:00, he left his job.",Contradiction,SINGLE_day_time_24,True,Backward
768,"At 16:00, the conference was held.","After 23:00, the conference was held.",Contradiction,SINGLE_day_time_24,True,Backward
769,"At 03:00, the city had a huge power outage.","Before 14:00, the city had a huge power outage.",Entailment,SINGLE_day_time_24,True,Backward
770,"At 13:00, a tsunami hit the coast.","Before 22:00, a tsunami hit the coast.",Entailment,SINGLE_day_time_24,True,Backward
771,"At 01:00, this team won the world cup.","Before 09:00, this team won the world cup.",Entailment,SINGLE_day_time_24,True,Backward
772,"At 21:00, her internship at Google began.","Before 15:00, her internship at Google began.",Contradiction,SINGLE_day_time_24,True,Backward
773,"At 08:00, the country declared martial law.","Before 13:00, the country declared martial law.",Entailment,SINGLE_day_time_24,True,Backward
774,"At 08:00, the price of this stock peaked.","Before 11:00, the price of this stock peaked.",Entailment,SINGLE_day_time_24,True,Backward
775,"At 07:00, the failing company issued major layoffs.","Before 14:00, the failing company issued major layoffs.",Entailment,SINGLE_day_time_24,True,Backward
776,"At 08:00, the government budget comes out.","Before 19:00, the government budget comes out.",Entailment,SINGLE_day_time_24,True,Backward
777,"At 04:00, the prison sentence of that convict ends.","Before 08:00, the prison sentence of that convict ends.",Entailment,SINGLE_day_time_24,True,Backward
778,"At 02:00, this article was published.","After 12:00, this article was published.",Contradiction,SINGLE_day_time_24,True,Backward
779,"At 08:00, I posted this picture on Instagram.","Before 08:00, I posted this picture on Instagram.",Contradiction,SINGLE_day_time_24,True,Backward
780,"Before 16:00, they got married.","Before 21:00, they got married.",Entailment,SINGLE_day_time_24,False,Backward
781,"Before 08:00, we went to Disneyland.","After 12:00, we went to Disneyland.",Contradiction,SINGLE_day_time_24,False,Backward
782,"Before 06:00, Michael will buy the house.","After 13:00, Michael will buy the house.",Contradiction,SINGLE_day_time_24,False,Backward
783,"Before 05:00, Lily flew to New York.","After 12:00, Lily flew to New York.",Contradiction,SINGLE_day_time_24,False,Backward
784,"Before 18:00, the music concert starts.","Before 07:00, the music concert starts.",Neutral,SINGLE_day_time_24,False,Backward
785,"Before 17:00, the tiger was last spotted.","Before 23:00, the tiger was last spotted.",Entailment,SINGLE_day_time_24,False,Backward
786,"Before 11:00, I last had dinner with my friends.","After 14:00, I last had dinner with my friends.",Contradiction,SINGLE_day_time_24,False,Backward
787,"After 21:00, he left his job.","After 16:00, he left his job.",Entailment,SINGLE_day_time_24,False,Backward
788,"Before 13:00, the conference was held.","After 02:00, the conference was held.",Neutral,SINGLE_day_time_24,False,Backward
789,"Before 22:00, the city had a huge power outage.","After 21:00, the city had a huge power outage.",Neutral,SINGLE_day_time_24,False,Backward
790,"After 12:00, a tsunami hit the coast.","Before 23:00, a tsunami hit the coast.",Neutral,SINGLE_day_time_24,False,Backward
791,"Before 14:00, this team won the world cup.","Before 11:00, this team won the world cup.",Neutral,SINGLE_day_time_24,False,Backward
792,"After 14:00, her internship at Google began.","After 12:00, her internship at Google began.",Entailment,SINGLE_day_time_24,False,Backward
793,"After 11:00, the country declared martial law.","Before 19:00, the country declared martial law.",Neutral,SINGLE_day_time_24,False,Backward
794,"Before 14:00, the price of this stock peaked.","After 17:00, the price of this stock peaked.",Contradiction,SINGLE_day_time_24,False,Backward
795,"Before 05:00, the failing company issued major layoffs.","After 02:00, the failing company issued major layoffs.",Neutral,SINGLE_day_time_24,False,Backward
796,"Before 07:00, the government budget comes out.","Before 16:00, the government budget comes out.",Entailment,SINGLE_day_time_24,False,Backward
797,"Before 21:00, the prison sentence of that convict ends.","Before 14:00, the prison sentence of that convict ends.",Neutral,SINGLE_day_time_24,False,Backward
798,"After 03:00, this article was published.","Before 12:00, this article was published.",Neutral,SINGLE_day_time_24,False,Backward
799,"Before 18:00, I posted this picture on Instagram.","After 10:00, I posted this picture on Instagram.",Neutral,SINGLE_day_time_24,False,Backward
800,They got married on Friday.,They got married before Friday.,Contradiction,SINGLE_weekday,True,Forward
801,We went to Disneyland on Sunday.,We went to Disneyland after Sunday.,Contradiction,SINGLE_weekday,True,Forward
802,Michael will buy the house on Monday.,Michael will buy the house after Tuesday.,Contradiction,SINGLE_weekday,True,Forward
803,Lily flew to New York on Saturday.,Lily flew to New York after Wednesday.,Entailment,SINGLE_weekday,True,Forward
804,The music concert starts on Friday.,The music concert starts before Thursday.,Contradiction,SINGLE_weekday,True,Forward
805,The tiger was last spotted on Thursday.,The tiger was last spotted before Monday.,Contradiction,SINGLE_weekday,True,Forward
806,I last had dinner with my friends on Tuesday.,I last had dinner with my friends before Sunday.,Contradiction,SINGLE_weekday,True,Forward
807,He left his job on Tuesday.,He left his job before Wednesday.,Entailment,SINGLE_weekday,True,Forward
808,The conference was held on Wednesday.,The conference was held after Saturday.,Contradiction,SINGLE_weekday,True,Forward
809,The city had a huge power outage on Thursday.,The city had a huge power outage after Saturday.,Contradiction,SINGLE_weekday,True,Forward
810,A tsunami hit the coast on Wednesday.,A tsunami hit the coast after Thursday.,Contradiction,SINGLE_weekday,True,Forward
811,This team won the world cup on Saturday.,This team won the world cup after Friday.,Entailment,SINGLE_weekday,True,Forward
812,Her internship at Google began on Wednesday.,Her internship at Google began after Saturday.,Contradiction,SINGLE_weekday,True,Forward
813,The country declared martial law on Saturday.,The country declared martial law after Thursday.,Entailment,SINGLE_weekday,True,Forward
814,The price of this stock peaked on Sunday.,The price of this stock peaked after Tuesday.,Contradiction,SINGLE_weekday,True,Forward
815,The failing company issued major layoffs on Sunday.,The failing company issued major layoffs before Wednesday.,Entailment,SINGLE_weekday,True,Forward
816,The government budget comes out on Wednesday.,The government budget comes out before Tuesday.,Contradiction,SINGLE_weekday,True,Forward
817,The prison sentence of that convict ends on Wednesday.,The prison sentence of that convict ends after Monday.,Entailment,SINGLE_weekday,True,Forward
818,This article was published on Sunday.,This article was published before Monday.,Entailment,SINGLE_weekday,True,Forward
819,I posted this picture on Instagram on Wednesday.,I posted this picture on Instagram after Tuesday.,Entailment,SINGLE_weekday,True,Forward
820,They got married after Saturday.,They got married before Friday.,Contradiction,SINGLE_weekday,False,Forward
821,We went to Disneyland after Saturday.,We went to Disneyland after Wednesday.,Entailment,SINGLE_weekday,False,Forward
822,Michael will buy the house before Wednesday.,Michael will buy the house after Friday.,Contradiction,SINGLE_weekday,False,Forward
823,Lily flew to New York before Tuesday.,Lily flew to New York before Friday.,Entailment,SINGLE_weekday,False,Forward
824,The music concert starts after Saturday.,The music concert starts before Saturday.,Contradiction,SINGLE_weekday,False,Forward
825,The tiger was last spotted before Thursday.,The tiger was last spotted before Wednesday.,Neutral,SINGLE_weekday,False,Forward
826,I last had dinner with my friends after Friday.,I last had dinner with my friends after Wednesday.,Entailment,SINGLE_weekday,False,Forward
827,He left his job after Tuesday.,He left his job before Thursday.,Neutral,SINGLE_weekday,False,Forward
828,The conference was held before Thursday.,The conference was held before Friday.,Entailment,SINGLE_weekday,False,Forward
829,The city had a huge power outage after Friday.,The city had a huge power outage after Wednesday.,Entailment,SINGLE_weekday,False,Forward
830,A tsunami hit the coast after Wednesday.,A tsunami hit the coast before Sunday.,Contradiction,SINGLE_weekday,False,Forward
831,This team won the world cup after Monday.,This team won the world cup before Tuesday.,Neutral,SINGLE_weekday,False,Forward
832,Her internship at Google began before Thursday.,Her internship at Google began after Wednesday.,Neutral,SINGLE_weekday,False,Forward
833,The country declared martial law after Wednesday.,The country declared martial law before Monday.,Contradiction,SINGLE_weekday,False,Forward
834,The price of this stock peaked before Wednesday.,The price of this stock peaked before Sunday.,Neutral,SINGLE_weekday,False,Forward
835,The failing company issued major layoffs before Saturday.,The failing company issued major layoffs after Thursday.,Neutral,SINGLE_weekday,False,Forward
836,The government budget comes out after Wednesday.,The government budget comes out before Sunday.,Contradiction,SINGLE_weekday,False,Forward
837,The prison sentence of that convict ends after Tuesday.,The prison sentence of that convict ends before Monday.,Contradiction,SINGLE_weekday,False,Forward
838,This article was published after Sunday.,This article was published before Tuesday.,Neutral,SINGLE_weekday,False,Forward
839,I posted this picture on Instagram after Monday.,I posted this picture on Instagram after Wednesday.,Neutral,SINGLE_weekday,False,Forward
840,"On Monday, they got married.","After Wednesday, they got married.",Contradiction,SINGLE_weekday,True,Backward
841,"On Sunday, we went to Disneyland.","After Sunday, we went to Disneyland.",Contradiction,SINGLE_weekday,True,Backward
842,"On Sunday, Michael will buy the house.","After Wednesday, Michael will buy the house.",Contradiction,SINGLE_weekday,True,Backward
843,"On Sunday, Lily flew to New York.","Before Tuesday, Lily flew to New York.",Entailment,SINGLE_weekday,True,Backward
844,"On Saturday, the music concert starts.","After Friday, the music concert starts.",Entailment,SINGLE_weekday,True,Backward
845,"On Monday, the tiger was last spotted.","After Monday, the tiger was last spotted.",Contradiction,SINGLE_weekday,True,Backward
846,"On Friday, I last had dinner with my friends.","After Tuesday, I last had dinner with my friends.",Entailment,SINGLE_weekday,True,Backward
847,"On Friday, he left his job.","Before Friday, he left his job.",Contradiction,SINGLE_weekday,True,Backward
848,"On Monday, the conference was held.","Before Wednesday, the conference was held.",Entailment,SINGLE_weekday,True,Backward
849,"On Friday, the city had a huge power outage.","Before Thursday, the city had a huge power outage.",Contradiction,SINGLE_weekday,True,Backward
850,"On Sunday, a tsunami hit the coast.","After Monday, a tsunami hit the coast.",Contradiction,SINGLE_weekday,True,Backward
851,"On Thursday, this team won the world cup.","Before Tuesday, this team won the world cup.",Contradiction,SINGLE_weekday,True,Backward
852,"On Saturday, her internship at Google began.","Before Thursday, her internship at Google began.",Contradiction,SINGLE_weekday,True,Backward
853,"On Saturday, the country declared martial law.","After Friday, the country declared martial law.",Entailment,SINGLE_weekday,True,Backward
854,"On Thursday, the price of this stock peaked.","Before Monday, the price of this stock peaked.",Contradiction,SINGLE_weekday,True,Backward
855,"On Friday, the failing company issued major layoffs.","Before Thursday, the failing company issued major layoffs.",Contradiction,SINGLE_weekday,True,Backward
856,"On Monday, the government budget comes out.","Before Thursday, the government budget comes out.",Entailment,SINGLE_weekday,True,Backward
857,"On Wednesday, the prison sentence of that convict ends.","After Sunday, the prison sentence of that convict ends.",Entailment,SINGLE_weekday,True,Backward
858,"On Wednesday, this article was published.","After Wednesday, this article was published.",Contradiction,SINGLE_weekday,True,Backward
859,"On Wednesday, I posted this picture on Instagram.","After Wednesday, I posted this picture on Instagram.",Contradiction,SINGLE_weekday,True,Backward
860,"Before Wednesday, they got married.","After Friday, they got married.",Contradiction,SINGLE_weekday,False,Backward
861,"After Sunday, we went to Disneyland.","Before Wednesday, we went to Disneyland.",Neutral,SINGLE_weekday,False,Backward
862,"Before Monday, Michael will buy the house.","Before Sunday, Michael will buy the house.",Neutral,SINGLE_weekday,False,Backward
863,"Before Thursday, Lily flew to New York.","After Thursday, Lily flew to New York.",Contradiction,SINGLE_weekday,False,Backward
864,"Before Wednesday, the music concert starts.","After Monday, the music concert starts.",Neutral,SINGLE_weekday,False,Backward
865,"Before Monday, the tiger was last spotted.","After Wednesday, the tiger was last spotted.",Contradiction,SINGLE_weekday,False,Backward
866,"After Wednesday, I last had dinner with my friends.","Before Tuesday, I last had dinner with my friends.",Contradiction,SINGLE_weekday,False,Backward
867,"Before Sunday, he left his job.","After Tuesday, he left his job.",Contradiction,SINGLE_weekday,False,Backward
868,"After Tuesday, the conference was held.","Before Tuesday, the conference was held.",Contradiction,SINGLE_weekday,False,Backward
869,"After Friday, the city had a huge power outage.","Before Tuesday, the city had a huge power outage.",Contradiction,SINGLE_weekday,False,Backward
870,"Before Thursday, a tsunami hit the coast.","Before Saturday, a tsunami hit the coast.",Entailment,SINGLE_weekday,False,Backward
871,"Before Sunday, this team won the world cup.","After Wednesday, this team won the world cup.",Contradiction,SINGLE_weekday,False,Backward
872,"Before Monday, her internship at Google began.","After Thursday, her internship at Google began.",Contradiction,SINGLE_weekday,False,Backward
873,"Before Monday, the country declared martial law.","Before Sunday, the country declared martial law.",Neutral,SINGLE_weekday,False,Backward
874,"After Tuesday, the price of this stock peaked.","After Wednesday, the price of this stock peaked.",Neutral,SINGLE_weekday,False,Backward
875,"After Wednesday, the failing company issued major layoffs.","After Monday, the failing company issued major layoffs.",Entailment,SINGLE_weekday,False,Backward
876,"Before Wednesday, the government budget comes out.","After Friday, the government budget comes out.",Contradiction,SINGLE_weekday,False,Backward
877,"After Sunday, the prison sentence of that convict ends.","Before Tuesday, the prison sentence of that convict ends.",Neutral,SINGLE_weekday,False,Backward
878,"After Thursday, this article was published.","Before Wednesday, this article was published.",Contradiction,SINGLE_weekday,False,Backward
879,"After Tuesday, I posted this picture on Instagram.","After Wednesday, I posted this picture on Instagram.",Neutral,SINGLE_weekday,False,Backward
880,They got married on Thursday.,They got married before Saturday.,Entailment,SINGLE_weekday,True,Forward
881,We went to Disneyland on Wednesday.,We went to Disneyland after Friday.,Contradiction,SINGLE_weekday,True,Forward
882,Michael will buy the house on Friday.,Michael will buy the house before Saturday.,Entailment,SINGLE_weekday,True,Forward
883,Lily flew to New York on Thursday.,Lily flew to New York after Friday.,Contradiction,SINGLE_weekday,True,Forward
884,The music concert starts on Wednesday.,The music concert starts after Wednesday.,Contradiction,SINGLE_weekday,True,Forward
885,The tiger was last spotted on Tuesday.,The tiger was last spotted before Monday.,Contradiction,SINGLE_weekday,True,Forward
886,I last had dinner with my friends on Wednesday.,I last had dinner with my friends after Friday.,Contradiction,SINGLE_weekday,True,Forward
887,He left his job on Tuesday.,He left his job after Tuesday.,Contradiction,SINGLE_weekday,True,Forward
888,The conference was held on Wednesday.,The conference was held after Wednesday.,Contradiction,SINGLE_weekday,True,Forward
889,The city had a huge power outage on Tuesday.,The city had a huge power outage after Tuesday.,Contradiction,SINGLE_weekday,True,Forward
890,A tsunami hit the coast on Thursday.,A tsunami hit the coast after Friday.,Contradiction,SINGLE_weekday,True,Forward
891,This team won the world cup on Thursday.,This team won the world cup before Thursday.,Contradiction,SINGLE_weekday,True,Forward
892,Her internship at Google began on Sunday.,Her internship at Google began after Wednesday.,Contradiction,SINGLE_weekday,True,Forward
893,The country declared martial law on Monday.,The country declared martial law before Monday.,Contradiction,SINGLE_weekday,True,Forward
894,The price of this stock peaked on Wednesday.,The price of this stock peaked after Tuesday.,Entailment,SINGLE_weekday,True,Forward
895,The failing company issued major layoffs on Friday.,The failing company issued major layoffs before Friday.,Contradiction,SINGLE_weekday,True,Forward
896,The government budget comes out on Thursday.,The government budget comes out before Thursday.,Contradiction,SINGLE_weekday,True,Forward
897,The prison sentence of that convict ends on Thursday.,The prison sentence of that convict ends before Wednesday.,Contradiction,SINGLE_weekday,True,Forward
898,This article was published on Sunday.,This article was published after Wednesday.,Contradiction,SINGLE_weekday,True,Forward
899,I posted this picture on Instagram on Wednesday.,I posted this picture on Instagram after Tuesday.,Entailment,SINGLE_weekday,True,Forward
900,They got married before Monday.,They got married before Sunday.,Neutral,SINGLE_weekday,False,Forward
901,We went to Disneyland before Saturday.,We went to Disneyland after Thursday.,Neutral,SINGLE_weekday,False,Forward
902,Michael will buy the house before Thursday.,Michael will buy the house after Thursday.,Contradiction,SINGLE_weekday,False,Forward
903,Lily flew to New York after Thursday.,Lily flew to New York after Tuesday.,Entailment,SINGLE_weekday,False,Forward
904,The music concert starts after Wednesday.,The music concert starts before Tuesday.,Contradiction,SINGLE_weekday,False,Forward
